# count	accession	asmId	sciName	comName	taxId	bioSample	asmType	asmLevel	asmData	submitter	asmSize	maskedPerCent	primary/secondary	VGPClade
223	GCA_039906465.1	GCA_039906465.1_bAegAlb1.hap2	Aegotheles albertisi	bird A.albertisi (hap2 2024)	48277	SAMN41085506	haploid (haplotype 2)	Chromosome	30 May 2024	Vertebrate Genomes Project	 1,051,698,180	21.38	secondary	birds
224	GCA_039906525.1	GCA_039906525.1_mPseCra1.hap2	Pseudorca crassidens	false killer whale (hap2 2024)	82174	SAMN41253811	haploid (haplotype 2)	Chromosome	31 May 2024	Vertebrate Genomes Project	 2,678,530,964	44.18	secondary	mammals
225	GCA_039906565.1	GCA_039906565.1_bAegAlb1.hap1	Aegotheles albertisi	bird A.albertisi (hap1 2024)	48277	SAMN41085506	haploid (haplotype 1)	Chromosome	31 May 2024	Vertebrate Genomes Project	 1,167,497,019	12.54	primary	birds
226	GCA_040206675.1	GCA_040206675.1_aAscTru1.hap2	Ascaphus truei	tailed frog (A.truei hap2 2024)	8439	SAMN41155128	haploid (haplotype 2)	Chromosome	17 Jun 2024	Vertebrate Genomes Project	 3,660,446,095	55.25	secondary	amphibians
227	GCA_040206685.1	GCA_040206685.1_aAscTru1.hap1	Ascaphus truei	tailed frog (A.truei hap1 2024)	8439	SAMN41155128	haploid (haplotype 1)	Chromosome	17 Jun 2024	Vertebrate Genomes Project	 3,722,616,900	55.73	primary	amphibians
228	GCA_040805955.1	GCA_040805955.1_T2T-sheep1.0	Ovis aries	sheep (hu hu3095 2024)	9940	SAMN38029123	haploid	Complete Genome	22 Jul 2024	China Agricultural University	 2,853,626,077	44.11	primary	mammals
229	GCA_040807015.1	GCA_040807015.1_bStrCam1.hap2	Struthio camelus	African ostrich (bStrCam1hap2 2024)	8801	SAMN42123890	haploid (haplotype 2)	Chromosome	22 Jul 2024	Vertebrate Genomes Project	 1,383,056,266	28.29	secondary	birds
230	GCA_040894015.1	GCA_040894015.1_aEngPut4.paternal	Engystomops pustulosus	Tungara frog (aEngPut4 paternal hap 2024)	76066	SAMN42463661	haploid (paternal haplotype of diploid)	Chromosome	30 Jul 2024	Vertebrate Genomes Project	 2,081,032,022	52.62	secondary	amphibians
231	GCA_040894355.2	GCA_040894355.2_rMyuGeo1.pri	Myuchelys georgesi	Bellinger river turtle (v2 BRST_UC0152H_USYD 2025)	1041117	SAMN36918804	haploid	Chromosome	06 Feb 2025	The University of Sydney	 1,980,039,302	26.49	primary	reptiles
232	GCA_040939525.1	GCA_040939525.1_ASM4093952v1	Protopterus annectens	West African lungfish (Aquariam Glaser DD20220218a primary hap 2024)	7888	SAMN26533844	haploid (principal pseudohaplotype of diploid)	Chromosome	01 Aug 2024	The Max Planck Institute of Molecular Cell Biology and Genetics	40,524,173,670	72.73	primary	fish
233	GCA_040954595.2	GCA_040954595.2_keBalMisa1.hap2	Saccoglossus sp. HW-2024a	hemichordates Saccoglossus HW-2024a (v2 hap2 2025)	3154068	SAMN40579982	haploid (haplotype 2)	Chromosome	27 Mar 2025	Southwest University	   319,515,952	28.91	secondary	invertebrate
234	GCA_040954625.2	GCA_040954625.2_keBalMisa1.hap1	Saccoglossus sp. HW-2024a	hemichordates Saccoglossus HW-2024a (v2 hap1 2025)	3154068	SAMN40579982	haploid (haplotype 1)	Chromosome	27 Mar 2025	Southwest University	   329,694,088	29.27	primary	invertebrate
235	GCA_040954845.1	GCA_040954845.1_fLepOcu1.hap1	Lepisosteus oculatus	spotted gar (fLepOcu1hap1 2024)	7918	SAMN41155427	haploid (haplotype 1)	Chromosome	01 Aug 2024	Vertebrate Genomes Project	 1,110,649,520	34.48	secondary	fish
236	GCA_040955645.1	GCA_040955645.1_LycPic1.final.hap1	Lycaon pictus	African hunting dog (LycPic1hap1 2024)	9622	SAMN36939365	haploid (paternal haplotype of diploid)	Chromosome	01 Aug 2024	University of Copenhagen	 2,260,356,192	32.97	secondary	mammals
237	GCA_040955705.1	GCA_040955705.1_LycPic1.final.hap2	Lycaon pictus	African hunting dog (LycPic1hap2 2024)	9622	SAMN36939365	haploid (maternal haplotype of diploid)	Chromosome	01 Aug 2024	University of Copenhagen	 2,384,012,108	33.73	primary	mammals
238	GCA_041735815.1	GCA_041735815.1_T2T-goat2.0	Capra hircus	Inner Mongolia cashmere goat (2024)	9925	SAMN41386043	haploid	Complete Genome	04 Sep 2024	China Agricultural University	 2,863,923,675	44.34	primary	mammals
239	GCA_041753875.1	GCA_041753875.1_ASM4175387v1	Acanthopagrus schlegelii	black porgy (SG-2024 2024)	72011	SAMN43087228	haploid	Complete Genome	05 Sep 2024	ShenZhen University	   714,975,658	24.10	primary	fish
240	GCA_041834305.1	GCA_041834305.1_ASM4183430v1	Megaptera novaeangliae	humpback whale (KW2013002 2024)	9773	SAMN41059645	haploid	Chromosome	09 Sep 2024	University of Colorado - Boulder	 3,146,604,256	45.16	primary	mammals
241	GCA_041902795.1	GCA_041902795.1_ASM4190279v1	Electrophorus electricus	electric eel (QZ-2024a 2024)	8005	SAMN42883346	haploid	Chromosome	12 Sep 2024	Center for Ecological and Environmental Sciences	   833,427,914	42.36	primary	fish
242	GCA_041903045.1	GCA_041903045.1_ASM4190304v1	Epinephelus lanceolatus	giant grouper (andai-2023 2024)	310571	SAMN41784231	haploid	Chromosome	12 Sep 2024	Yellow Sea Fisheries Research Institute	 1,089,387,278	33.30	primary	fish
243	GCA_042242115.1	GCA_042242115.1_fArrGeo1.hap1	Arripis georgiana	Australian ruff (RE-2024a hap1 2024)	3352246	SAMN40589644	haploid (haplotype 1)	Chromosome	25 Sep 2024	(n/a)	   735,099,811	33.44	secondary	fish
244	GCA_042242125.1	GCA_042242125.1_fPemKlu1.hap2	Pempheris klunzingeri	rough bullseye (RE-2024b hap2 2024)	3127111	SAMN40589649	haploid (haplotype 2)	Chromosome	25 Sep 2024	(n/a)	   632,781,980	30.94	secondary	fish
245	GCA_042242135.1	GCA_042242135.1_fArrGeo1.hap2	Arripis georgiana	Australian ruff (RE-2024a hap2 2024)	3352246	SAMN40589644	haploid (haplotype 2)	Chromosome	25 Sep 2024	(n/a)	   801,586,327	38.19	primary	fish
246	GCA_043161795.1	GCA_043161795.1_mMacNem.hap2	Macaca nemestrina	pig-tailed macaque (mMacNem1hap2 2024)	9545	SAMN41827875	haploid (haplotype 2)	Chromosome	15 Oct 2024	Vertebrate Genomes Project	 2,963,967,802	53.07	secondary	mammals
247	GCA_043250625.1	GCA_043250625.1_fSebFas1.pri	Sebastes fasciatus	Acadian redfish (fSebFas1 primary hap 2024)	394691	SAMN43039489	haploid (principal pseudohaplotype of diploid)	Chromosome	17 Oct 2024	Vertebrate Genomes Project	   833,835,073	40.13	primary	fish
248	GCA_043290065.1	GCA_043290065.1_mRhyPet1.hap2	Rhynchocyon petersi	black and rufous elephant shrew (mRhyPet1hap2 2024)	320637	SAMN43274963	haploid (haplotype 2)	Chromosome	17 Oct 2024	Vertebrate Genomes Project	 5,331,151,070	64.54	secondary	mammals
249	GCA_043290085.1	GCA_043290085.1_mRhyPet1.hap1	Rhynchocyon petersi	black and rufous elephant shrew (mRhyPet1hap1 2024)	320637	SAMN43274963	haploid (haplotype 1)	Chromosome	17 Oct 2024	Vertebrate Genomes Project	 5,620,370,870	71.76	primary	mammals
250	GCA_043640875.1	GCA_043640875.1_fEnoArm2.hap2	Enoplosus armatus	old wife E.armatus (hap2 2024)	215367	SAMN40589647	haploid (haplotype 2)	Chromosome	24 Oct 2024	(n/a)	   578,326,983	22.89	secondary	fish
251	GCA_043727835.1	GCA_043727835.1_ASM4372783v1	Aselliscus stoliczkanus	Stoliczka's trident bat (China 2021113_DDA primary hap 2024)	188568	SAMN33370315	haploid (principal pseudohaplotype of diploid)	Chromosome	24 Oct 2024	Bat1K	 2,268,696,503	40.53	primary	mammals
252	GCA_043727955.1	GCA_043727955.1_ASM4372795v1	Hipposideros larvatus	bat H.larvatus (China 20210929_DDb primary hap 2024)	175524	SAMN33388264	haploid (principal pseudohaplotype of diploid)	Chromosome	24 Oct 2024	Bat1K	 2,380,748,055	39.02	secondary	mammals
253	GCA_043728065.1	GCA_043728065.1_ASM4372806v1	Rhinolophus affinis	intermediate horseshoe bat (China 20211001_DDa primary hap 2024)	59477	SAMN33388345	haploid (principal pseudohaplotype of diploid)	Chromosome	24 Oct 2024	Bat1K	 2,302,456,897	42.96	primary	mammals
254	GCA_043728145.1	GCA_043728145.1_ASM4372814v1	Rhinolophus trifoliatus	trefoil horseshoe bat (Malaysia primary hap 2024)	430492	SAMN33421007	haploid (principal pseudohaplotype of diploid)	Chromosome	24 Oct 2024	Bat1K	 2,232,422,560	40.80	primary	mammals
255	GCA_043748575.1	GCA_043748575.1_ASM4374857v1	Rhinolophus perniger lanosus	northern woolly horseshoe bat (20210929_DDc primary hap 2024)	3030661	SAMN33438666	haploid (principal pseudohaplotype of diploid)	Chromosome	24 Oct 2024	Bat1K	 2,185,535,924	39.98	primary	mammals
256	GCA_043748645.1	GCA_043748645.1_ASM4374864v1	Mops condylurus	Angolan free-tailed bat (Cote d'Ivoire 20210831_DDa 2024)	258863	SAMN33550911	haploid	Chromosome	24 Oct 2024	Bat1K	 2,209,024,231	36.04	primary	mammals
257	GCA_043880285.1	GCA_043880285.1_ASM4388028v1	Doryrhina cyclops	cyclops roundleaf bat (Cote d'Ivoire 20210929_DDa primary hap 2024)	249021	SAMN33372470	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Oct 2024	Bat1K	 2,390,604,663	41.90	primary	mammals
258	GCA_043880425.1	GCA_043880425.1_ASM4388042v1	Rhinolophus yonghoiseni	Yong Hoi Sen's woolly horseshoe bat (Malaysia 20210929_DDd primary hap 2024)	2952509	SAMN33413875	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Oct 2024	Bat1K	 2,323,192,134	42.06	primary	mammals
259	GCA_043880545.1	GCA_043880545.1_ASM4388054v1	Rhinopoma microphyllum	greater mouse-tailed bat (20210906_DDa primary hap 2024)	173903	SAMN33421188	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Oct 2024	Bat1K	 2,564,586,454	40.30	primary	mammals
260	GCA_043880595.1	GCA_043880595.1_ASM4388059v1	Megaderma spasma	lesser false vampire bat (Vietnam 20211001_DDb primary hap 2024)	9414	SAMN33550865	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Oct 2024	Bat1K	 2,124,740,378	35.96	primary	mammals
261	GCA_044231645.1	GCA_044231645.1_SynOce1_v1.hap2	Neosynchiropus ocellatus	ocellated dragonet (captive hap2 2024)	390378	SAMN43082349	haploid (haplotype 2)	Chromosome	04 Nov 2024	University of Copenhagen	   471,984,592	21.93	secondary	fish
262	GCA_044231665.1	GCA_044231665.1_SynOce1_v1.hap1	Neosynchiropus ocellatus	ocellated dragonet (captive hap1 2024)	390378	SAMN43082349	haploid (haplotype 1)	Chromosome	04 Nov 2024	University of Copenhagen	   470,091,028	21.06	primary	fish
263	GCA_044231675.1	GCA_044231675.1_ASM4423167v1	Synchiropus picturatus	picturesque dragonet (SynPic1 hap2 2024)	586865	SAMN43082350	haploid (haplotype 2)	Chromosome	04 Nov 2024	University of Copenhagen	   492,062,741	24.57	primary	fish
264	GCA_044231685.1	GCA_044231685.1_ASM4423168v1	Synchiropus picturatus	picturesque dragonet (SynPic1 hap1 2024)	586865	SAMN43082350	haploid (haplotype 1)	Chromosome	04 Nov 2024	University of Copenhagen	   500,467,214	25.26	secondary	fish
265	GCA_044704965.1	GCA_044704965.1_sPriJap1.hap2	Pristiophorus japonicus	Japanese sawshark (hap2 2024)	55135	SAMN44116980	haploid (haplotype 2)	Chromosome	13 Nov 2024	Vertebrate Genomes Project	 6,365,258,383	73.82	secondary	sharks
266	GCA_045345405.1	GCA_045345405.1_bGuaGua1_haplotype_1	Guaruba guarouba	golden parakeet (hap1 2024)	51906	SAMN44514542	haploid (haplotype 1)	Chromosome	02 Dec 2024	Genomics of Brazilian Biodiversity	 1,366,127,126	30.90	primary	birds
267	GCA_045345505.1	GCA_045345505.1_bMorGui1_haplotype_1	Morphnus guianensis	crested eagle (hap1 2024)	252789	SAMN44513986	haploid (haplotype 1)	Chromosome	02 Dec 2024	Instituto Tecnologico Vale	 1,316,595,704	28.17	secondary	birds
268	GCA_045345515.1	GCA_045345515.1_bMorGui1_haplotype_2	Morphnus guianensis	crested eagle (hap2 2024)	252789	SAMN44513986	haploid (haplotype 2)	Chromosome	02 Dec 2024	Instituto Tecnologico Vale	 1,576,624,229	33.65	primary	birds
269	GCA_045362485.1	GCA_045362485.1_fLetNeb1.hap2	Lethrinus nebulosus	spangled emperor (hap2 2024)	182658	SAMN40589648	haploid (haplotype 2)	Chromosome	26 Nov 2024	(n/a)	 1,122,130,221	29.19	secondary	fish
270	GCA_045362495.1	GCA_045362495.1_fLetNeb1.hap1	Lethrinus nebulosus	spangled emperor (hap1 2024)	182658	SAMN40589648	haploid (haplotype 1)	Chromosome	26 Nov 2024	(n/a)	 1,133,212,262	29.01	primary	fish
271	GCA_045363885.1	GCA_045363885.1_fPriTyp1.hap2	Pristipomoides typus	sharptooth jobfish (hap2 2024)	264210	SAMN40589651	haploid (haplotype 2)	Chromosome	26 Nov 2024	(n/a)	 1,146,345,582	35.15	secondary	fish
272	GCA_045363895.1	GCA_045363895.1_fPriTyp1.hap1	Pristipomoides typus	sharptooth jobfish (hap1 2024)	264210	SAMN40589651	haploid (haplotype 1)	Chromosome	26 Nov 2024	(n/a)	 1,147,302,341	35.20	primary	fish
273	GCA_045364785.1	GCA_045364785.1_rPodExp1_haplotype_1	Podocnemis expansa	giant South American river turtle (hap1 2024)	44507	SAMN44516642	haploid (haplotype 1)	Chromosome	02 Dec 2024	Genomics of Brazilian Biodiversity	 2,642,177,504	35.53	secondary	reptiles
274	GCA_045364795.1	GCA_045364795.1_bWilVid1_haplotype_1	Willisornis vidua	Xingu scale-backed antbird (hap1 2024)	1566151	SAMN44516465	haploid (haplotype 1)	Chromosome	02 Dec 2024	Genomics of Brazilian Biodiversity	 1,233,406,177	26.66	primary	birds
275	GCA_045364805.1	GCA_045364805.1_bWilVid1_haplotype_2	Willisornis vidua	Xingu scale-backed antbird (hap2 2024)	1566151	SAMN44516465	haploid (haplotype 2)	Chromosome	02 Dec 2024	Genomics of Brazilian Biodiversity	 1,070,918,723	23.10	secondary	birds
276	GCA_045364815.1	GCA_045364815.1_rPodExp1_haplotype_2	Podocnemis expansa	giant South American river turtle (hap2 2024)	44507	SAMN44516642	haploid (haplotype 2)	Chromosome	02 Dec 2024	Genomics of Brazilian Biodiversity	 2,565,358,608	33.86	primary	reptiles
277	GCA_045519325.1	GCA_045519325.1_bGuaGua1_haplotype_2	Guaruba guarouba	golden parakeet (hap2 2024)	51906	SAMN44514542	haploid (haplotype 2)	Chromosome	02 Dec 2024	Genomics of Brazilian Biodiversity	 1,190,219,310	29.43	secondary	birds
278	GCA_045781085.1	GCA_045781085.1_rPanTec1.hap2	Pangshura tecta	Indian roofed turtle (hap2 2024)	260642	SAMN43277916	haploid	Chromosome	06 Dec 2024	Vertebrate Genomes Project	 2,174,585,695	32.71	primary	reptiles
279	GCA_045781095.1	GCA_045781095.1_rPanTec1.hap1	Pangshura tecta	Indian roofed turtle (hap1 2024)	260642	SAMN43277916	haploid	Chromosome	06 Dec 2024	Vertebrate Genomes Project	 2,165,924,875	32.52	secondary	reptiles
280	GCA_045843765.1	GCA_045843765.1_mUroPar1.hap2	Urocitellus parryii	Arctic ground squirrel (hap2 2024)	9999	SAMN44461866	haploid (haplotype 2)	Chromosome	12 Dec 2024	Vertebrate Genomes Project	 2,750,197,790	35.97	secondary	mammals
281	GCA_045843805.1	GCA_045843805.1_mUroPar1.hap1	Urocitellus parryii	Arctic ground squirrel (hap1 2024)	9999	SAMN44461866	haploid (haplotype 1)	Chromosome	13 Dec 2024	Vertebrate Genomes Project	 2,935,792,869	36.47	primary	mammals
282	GCA_046126795.1	GCA_046126795.1_rDibSmi1.hap1	Dibamus cf. smithi	lizards D.cf. smithi (hap1 2024)	3379902	SAMN44704469	haploid (haplotype 1)	Chromosome	13 Dec 2024	Vertebrate Genomes Project	 2,282,721,590	44.05	primary	reptiles
283	GCA_046126825.1	GCA_046126825.1_rDibSmi1.hap2	Dibamus cf. smithi	lizards D.cf. smithi (hap2 2024)	3379902	SAMN44704469	haploid (haplotype 2)	Chromosome	13 Dec 2024	Vertebrate Genomes Project	 1,821,555,219	42.57	secondary	reptiles
284	GCA_046129645.1	GCA_046129645.1_bCyaCrs1.hap2	Cyanocitta cristata	blue jay (hap2 2024)	28727	SAMN44574712	haploid (haplotype 2)	Chromosome	17 Dec 2024	Vertebrate Genomes Project	 1,195,662,530	29.11	secondary	birds
285	GCA_046129655.1	GCA_046129655.1_bCyaCrs1.hap1	Cyanocitta cristata	blue jay (hap1 2024)	28727	SAMN44574712	haploid (haplotype 1)	Chromosome	17 Dec 2024	Vertebrate Genomes Project	 1,227,176,437	25.18	primary	birds
286	GCA_046129695.1	GCA_046129695.1_bLonStr1.mat	Lonchura striata	white-rumped munia (maternal hap 2024)	40157	SAMN44779081	haploid (maternal haplotype of diploid)	Chromosome	17 Dec 2024	Vertebrate Genomes Project	 1,207,550,942	27.72	primary	birds
287	GCA_046129705.1	GCA_046129705.1_bLonStr1.pat	Lonchura striata	white-rumped munia (paternal hap 2024)	40157	SAMN44779081	haploid (paternal haplotype of diploid)	Chromosome	17 Dec 2024	Vertebrate Genomes Project	 1,195,923,327	27.62	secondary	birds
288	GCA_046255685.1	GCA_046255685.1_fAmbSpe1.hap1	Amblyopsis spelaea	northern cavefish (hap1 2024)	1195602	SAMN45063415	haploid	Chromosome	23 Dec 2024	Vertebrate Genomes Project	   817,459,139	49.51	primary	fish
289	GCA_046255725.1	GCA_046255725.1_fAmbSpe1.hap2	Amblyopsis spelaea	northern cavefish (hap2 2024)	1195602	SAMN45063415	haploid	Chromosome	23 Dec 2024	Vertebrate Genomes Project	   865,090,090	52.00	secondary	fish
290	GCA_046562875.1	GCA_046562875.1_mPanOnc1_haplotype_2	Panthera onca	jaguar (hap2 2025)	9690	SAMN44524170	haploid (haplotype 2)	Chromosome	08 Jan 2025	Genomics of Brazilian Biodiversity	 2,487,960,463	41.80	secondary	mammals
291	GCA_046562885.1	GCA_046562885.1_mPanOnc1_haplotype_1	Panthera onca	jaguar (hap1 2025)	9690	SAMN44524170	haploid (haplotype 1)	Chromosome	08 Jan 2025	Genomics of Brazilian Biodiversity	 2,303,345,105	41.30	primary	mammals
292	GCA_046562895.1	GCA_046562895.1_mTriInu1_haplotype_2	Trichechus inunguis	Amazon manatee (hap2 2025)	9777	SAMN44524440	haploid (haplotype 2)	Chromosome	08 Jan 2025	Genomics of Brazilian Biodiversity	 3,320,339,069	57.34	primary	mammals
293	GCA_046562985.1	GCA_046562985.1_mTriInu1_haplotype_1	Trichechus inunguis	Amazon manatee (hap1 2025)	9777	SAMN44524440	haploid (haplotype 1)	Chromosome	08 Jan 2025	Genomics of Brazilian Biodiversity	 3,071,794,592	56.95	secondary	mammals
294	GCA_047301625.1	GCA_047301625.1_ASM4730162v1	Choerodon schoenleinii	blackspot tuskfish (SL-2024 2025)	241275	SAMN46014618	haploid	Chromosome	30 Jan 2025	Guangdong Ocean University	   865,958,939	30.05	primary	fish
295	GCA_047511565.1	GCA_047511565.1_fPolLow2.hap1	Polymixia lowei	beardfish (hap1 2025)	143326	SAMN45134564	haploid (haplotype 1)	Chromosome	10 Feb 2025	Vertebrate Genomes Project	   675,344,950	30.33	primary	fish
296	GCA_047511595.1	GCA_047511595.1_fPolLow2.hap2	Polymixia lowei	beardfish (hap2 2025)	143326	SAMN45134564	haploid (haplotype 2)	Chromosome	10 Feb 2025	Vertebrate Genomes Project	   671,709,512	30.40	secondary	fish
297	GCA_047511605.1	GCA_047511605.1_mCasCan1.hap2	Castor canadensis	American beaver (hap2 2025)	51338	SAMN45812786	haploid (haplotype 2)	Chromosome	10 Feb 2025	Vertebrate Genomes Project	 2,764,863,784	35.89	secondary	mammals
298	GCA_047511655.1	GCA_047511655.1_mCasCan1.hap1	Castor canadensis	American beaver (hap1 2025)	51338	SAMN45812786	haploid (haplotype 1)	Chromosome	10 Feb 2025	Vertebrate Genomes Project	 2,828,089,101	35.39	primary	mammals
299	GCA_047512175.1	GCA_047512175.1_mMarFla1.hap2	Marmota flaviventris	yellow-bellied marmot (hap2 2025)	93162	SAMN45932315	haploid (haplotype 2)	Chromosome	10 Feb 2025	Vertebrate Genomes Project	 2,467,036,054	33.41	secondary	mammals
300	GCA_047715955.1	GCA_047715955.1_rBraPum1.hap2	Bradypodion pumilum	lizards B.pumilum (Western Cape Province hap2 2025)	179887	SAMN35825189	haploid	Chromosome	11 Feb 2025	Vertebrate Genomes Project	 2,479,053,460	56.66	secondary	reptiles
301	GCA_047715975.1	GCA_047715975.1_rBraPum1.hap1	Bradypodion pumilum	lizards B.pumilum (Western Cape Province hap1 2025)	179887	SAMN35825189	haploid	Chromosome	11 Feb 2025	Vertebrate Genomes Project	 2,467,904,324	56.48	primary	reptiles
302	GCA_047774235.1	GCA_047774235.1_bZonAlb1.hap2	Zonotrichia albicollis	white-throated sparrow (hap2 2025)	44394	SAMN46390924	haploid (haplotype 2)	Chromosome	18 Feb 2025	Vertebrate Genomes Project	 1,176,404,578	27.21	secondary	birds
303	GCA_047830755.1	GCA_047830755.1_bZonAlb1.hap1	Zonotrichia albicollis	white-throated sparrow (hap1 2025)	44394	SAMN46390924	haploid (haplotype 1)	Chromosome	18 Feb 2025	Vertebrate Genomes Project	 1,278,938,765	24.31	primary	birds
304	GCA_047922975.1	GCA_047922975.1_bEudEle1_v1.hap2	Eudromia elegans	elegant crested-tinamou (YG026_01 alternate hap 2025)	8805	SAMN46865137	alternate-pseudohaplotype	Chromosome	20 Feb 2025	University of Copenhagen	   965,723,864	23.99	secondary	birds
305	GCA_047922985.1	GCA_047922985.1_bEudEle1_v1.hap1	Eudromia elegans	elegant crested-tinamou (YG026_01 primary hap 2025)	8805	SAMN46865137	haploid (principal pseudohaplotype of diploid)	Chromosome	20 Feb 2025	University of Copenhagen	 1,109,691,113	13.96	primary	birds
306	GCA_048126345.1	GCA_048126345.1_UniMelb_NotTyph_v1.0	Notoryctes typhlops	marsupial mole (Waite Creek area ABTC07570 2025)	37699	SAMN45131536	haploid	Scaffold	26 Feb 2025	Oz Mammals Genomics	 3,845,140,558	47.20	primary	mammals
307	GCA_048126635.1	GCA_048126635.1_SpiSpi1_v1.hap1	Spinachia spinachia	sea stickleback (SK-2024b hap1 2025)	206126	SAMN36735485	haploid (haplotype 1)	Chromosome	27 Feb 2025	University of Copenhagen	   407,561,107	14.07	primary	fish
308	GCA_048126745.1	GCA_048126745.1_DamDam1_v1.mat	Dama dama	fallow deer (maternal hap SK-2024 2025)	30532	SAMN36735489	haploid (maternal haplotype of diploid)	Chromosome	27 Feb 2025	University of Copenhagen	 2,723,325,442	41.57	primary	mammals
309	GCA_048127045.1	GCA_048127045.1_DamDam1_v1.pat	Dama dama	fallow deer (paternal hap SK-2024 2025)	30532	SAMN36735489	haploid (paternal haplotype of diploid)	Chromosome	27 Feb 2025	University of Copenhagen	 2,380,677,270	38.56	secondary	mammals
310	GCA_048127205.1	GCA_048127205.1_SpiSpi1_v1.hap2	Spinachia spinachia	sea stickleback (SK-2024b hap2 2025)	206126	SAMN36735485	haploid (haplotype 2)	Chromosome	27 Feb 2025	University of Copenhagen	   406,020,468	23.19	secondary	fish
311	GCA_048128715.1	GCA_048128715.1_fSymNem1.1_haplotype_2	Symphorus nematophorus	chinamanfish (OG11 2025)	396798	SAMN41179601	haploid (haplotype 2)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	 1,079,709,985	46.06	secondary	fish
312	GCA_048128725.1	GCA_048128725.1_fSymNem1.1_haplotype_1	Symphorus nematophorus	chinamanfish (OG11 2025)	396798	SAMN41179601	haploid (haplotype 1)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	 1,079,363,760	32.88	primary	fish
313	GCA_048128805.1	GCA_048128805.1_fCenGer3.hap1.cur.20231027	Centroberyx gerrardi	bight redfish (hap1 2025)	166262	SAMN41769328	haploid (haplotype 1)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	   779,177,424	31.86	primary	fish
314	GCA_048129025.1	GCA_048129025.1_fCaeTer1.1_haplotype_2	Caesio teres	yellow and blueback fusilier (OG672 2025)	1311420	SAMN41769331	haploid (haplotype 2)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	 1,033,416,279	31.40	secondary	fish
315	GCA_048129055.1	GCA_048129055.1_fCaeTer1.1_haplotype_1	Caesio teres	yellow and blueback fusilier (OG672 2025)	1311420	SAMN41769331	haploid (haplotype 1)	Chromosome	28 Feb 2025	(n/a)	 1,078,118,487	33.44	primary	fish
316	GCA_048129065.1	GCA_048129065.1_fEpiMut1.hap2.cur.20240206	Epinephelus rankini	Rankin cod (hap2 2025)	2930458	SAMN41769322	haploid (haplotype 2)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	 1,018,963,042	42.18	secondary	fish
317	GCA_048129085.1	GCA_048129085.1_fCenGer3.hap2.cur.20231027	Centroberyx gerrardi	bight redfish (hap2 2025)	166262	SAMN41769328	haploid (haplotype 2)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	   774,057,239	32.03	secondary	fish
318	GCA_048129235.1	GCA_048129235.1_fEpiMut1.hap1.cur.20240206	Epinephelus rankini	Rankin cod (hap1 2025)	2930458	SAMN41769322	haploid (haplotype 1)	Chromosome	28 Feb 2025	Minderoo OceanOmics Centre at University of the Western Australia	 1,035,398,499	31.27	primary	fish
319	GCA_048164845.1	GCA_048164845.1_mCanLup2.hap2	Canis lupus baileyi	Mexican gray wolf (hap2 2025)	143281	SAMN46796784	haploid (haplotype 2)	Chromosome	27 Feb 2025	Vertebrate Genomes Project	 2,336,397,564	34.24	secondary	mammals
320	GCA_048301445.1	GCA_048301445.1_SynTyp1_v1.hap1	Syngnathus typhle	broad-nosed pipefish (SK-2024d hap1 2025)	161592	SAMN36735486	haploid (haplotype 1)	Chromosome	03 Mar 2025	University of Copenhagen	   368,300,239	36.58	primary	fish
321	GCA_048301465.1	GCA_048301465.1_ASM4830146v1	Aulostomus maculatus	trumpetfish (SK-2024c 2025)	150449	SAMN43082348	haploid (haplotype 1)	Chromosome	03 Mar 2025	University of Copenhagen	   662,945,422	26.05	primary	fish
322	GCA_048301475.1	GCA_048301475.1_ASM4830147v1	Aulostomus maculatus	trumpetfish (SK-2024c 2025)	150449	SAMN43082348	haploid (haplotype 2)	Chromosome	03 Mar 2025	University of Copenhagen	   669,846,493	26.80	secondary	fish
323	GCA_048301585.1	GCA_048301585.1_ASM4830158v1	Rhinogobio nasutus	bony fish R.nasutus (DBWJ_T2T 2025)	2590489	SAMN45903276	haploid	Chromosome	03 Mar 2025	Gansu Fisheries Research Institute	   953,377,980	45.29	primary	fish
324	GCA_048301605.1	GCA_048301605.1_SynTyp1_v1.hap2	Syngnathus typhle	broad-nosed pipefish (SK-2024d hap2 2025)	161592	SAMN36735486	haploid (haplotype 2)	Chromosome	03 Mar 2025	University of Copenhagen	   356,339,685	34.73	secondary	fish
325	GCA_048338725.1	GCA_048338725.1_T2T_pig1.0	Sus scrofa	pig (Wuzhishan WZS1 2025)	9823	SAMN42780387	haploid	Complete Genome	05 Mar 2025	Chian Agricultural University	 2,633,166,191	39.57	primary	mammals
